Rank,Company,City,State
459,Burlington Stores,Burlington,NJ
460,Regions Financial,Birmingham,AL
461,AK Steel Holding,Beckett Ridge,OH
462,Securian Financial Group,St Paul,MN
463,S& P Global,New York,NY
464,Markel,Glen Allen,VA
465,TravelCenters of America,Westlake,OH
466,Conduent,Florham Park,NJ
467,M& T Bank Corp.,Buffalo,NY
468,Clorox,Oakland,CA
469,AmTrust Financial Services,New York,NY
470,KKR,New York,NY
471,Ulta Beauty,Bolingbrook,IL
472,Yum Brands,Louisville,KY
473,Regeneron Pharmaceuticals,Tarrytown,NY
474,Windstream Holdings,Little Rock,AR
475,Magellan Health,Scottsdale,AZ
476,Western & Southern Financial,Cincinnati,OH
477,Intercontinental Exchange,Atlanta,GA
478,Ingredion,Westchester,IL
479,Wyndham Destinations,Parsippany-Troy Hills,NJ
480,Toll Brothers,Horsham,PA
481,Seaboard,Merriam,KS
482,Booz Allen Hamilton,McLean,VA
483,First American Financial,Santa Ana,CA
484,Cincinnati Financial,Fairfield,OH
485,Avon Products,Rye,NY
486,Northern Trust,Chicago,IL
487,Fiserv,Brookfield,WI
488,Harley-Davidson,Milwaukee,WI
489,Cheniere Energy,Houston,TX
490,Patterson,St Paul,MN
491,Peabody Energy,St. Louis,MO
492,ON Semiconductor,Phoenix,AZ
493,Simon Property Group,Indianapolis,IN
494,Western Union,Englewood,CO
495,NetApp,Sunnyvale,CA
496,Polaris Industries,Medina,MN
497,Pioneer Natural Resources,Irving,TX
498,ABM Industries,New York,NY
499,Vistra Energy,Irving,TX
500,Cintas,Cincinnati,OH
501,Hess,New York,NY
502,Host Hotels & Resorts,Bethesda,MD
503,Kelly Services,Troy,MI
504,Genesis Healthcare,Kennett Square,PA
505,Michaels Cos.,Irving,TX
506,Advanced Micro Devices,Santa Clara,CA
507,Zoetis,Parsippany-Troy Hills,NJ
508,Williams-Sonoma,SF,CA
509,Fortune Brands Home & Security,Deerfield,IL
510,Big Lots,Columbus,OH
511,Robert Half International,Menlo Park,CA
512,Post Holdings,St. Louis,MO
513,Hasbro,Pawtucket,RI
514,Hanover Insurance Group,Worcester,MA
515,Navient,Wilmington,DE
516,Intuit,Mountain View,CA
517,Domtar,Fort Mill,SC
518,Marathon Oil,Houston,TX
519,Cerner,North Kansas City,MO
520,Analog Devices,Norwood,MA
521,Telephone & Data Systems,Chicago,IL
522,Essendant,Deerfield,IL
523,Sonoco Products,Hartsville,SC
524,Juniper Networks,Sunnyvale,CA
525,Commercial Metals,Irving,TX
526,CSRA,Falls Church,VA
527,Under Armour,Baltimore,MD
528,RPM International,Medina,OH
529,Total System Services,Columbus,GA
530,Levi Strauss,SF,CA
531,Brunswick,Libertyville,IL
532,YRC Worldwide,Overland Park,KS
533,Mattel,El Segundo,CA
534,FM Global,Johnston,RI
535,NiSource,Merrillville,IN
536,Caesars Entertainment,Las Vegas,NV
537,Electronic Arts,Redwood City,CA
538,Dynegy,Houston,TX
539,McCormick,Sparks Glencoe,MD
540,T. Rowe Price,Baltimore,MD
541,Orbital ATK,Sterling,VA
542,Tutor Perini,Los Angeles,CA
543,Brookdale Senior Living,Brentwood,TN
544,Huntington Bancshares,Columbus,OH
545,Wayfair,Boston,MA
546,Rush Enterprises,New Braunfels,TX
547,Xylem,Rye Brook,NY
548,Neiman Marcus Group,Dallas,TX
549,Hyatt Hotels,Chicago,IL
550,Sprouts Farmers Market,Phoenix,AZ
551,Diebold Nixdorf,North Canton,OH
552,Roper Technologies,Sarasota,FL
553,Smart & Final Stores,Commerce,CA
554,CommScope Holding,Newton,NC
555,Tapestry,New York City,NY
556,Diplomat Pharmacy,Flint,MI
557,Chipotle Mexican Grill,Denver,CO
558,Agilent Technologies,Santa Clara,CA
559,Science Applications International,Reston,VA
560,MDU Resources Group,Bismarck,ND
561,Select Medical Holdings,Mechanicsburg,PA
562,Boise Cascade,Boise,ID
563,National General Holdings,New York,NY
564,SCANA,Cayce,SC
565,Graphic Packaging Holding,Atlanta,GA
566,Fastenal,Winona,MN
567,Schneider National,Green Bay,WI
568,Laureate Education,Baltimore,MD
569,Beacon Roofing Supply,Herndon,VA
570,KB Home,Los Angeles,CA
571,Equinix,Redwood City,CA
572,Terex,Westport,CT
573,Crown Castle International,Houston,TX
574,CACI International,Arlington,VA
575,Watsco,Miami,FL
576,Coca-Cola Bottling,Charlotte,NC
577,Welltower,Toledo,OH
578,ADT,Boca Raton,FL
579,Ametek,Berwyn,PA
580,CNO Financial Group,Carmel,IN
581,Camping World Holdings,Lincolnshire,IL
582,LPL Financial Holdings,Boston,MA
583,Noble Energy,Houston,TX
584,Bloomin Brands,Tampa,FL
585,Moodys,New York,NY
586,Symantec,Mountain View,CA
587,Amkor Technology,Tempe,AZ
588,Skechers U.S.A.,Manhattan Beach,CA
589,KBR,Houston,TX
590,Tiffany,New York,NY
591,Torchmark,McKinney,TX
592,Broadridge Financial Solutions,Lake Success,NY
593,Quad/Graphics,Sussex,WI
594,CF Industries Holdings,Deerfield,IL
595,Carlisle,Scottsdale,AZ
596,Silgan Holdings,Stamford,CT
597,Bemis,Neenah,WI
598,CA,New York,NY
599,Hub Group,Oak Brook,IL
600,Worldpay,Cincinnati,OH
601,Ingles Markets,Black Mountain,NC
602,Snap-on,Kenosha,WI
603,Dentsply Sirona,York,PA
604,Calumet Specialty Products,Indianapolis,IN
605,Global Payments,Atlanta,GA
606,Encompass Health,Birmingham,AL
607,Martin Marietta Materials,Raleigh,NC
608,Nasdaq,New York,NY
609,Leggett & Platt,Carthage,MO
610,Universal Forest Products,Grand Rapids,MI
611,Sally Beauty Holdings,Denton,TX
612,Flowers Foods,Thomasville,GA
613,Barnes & Noble,New York,NY
614,American Equity Investment Life,West Des Moines,IA
615,Vulcan Materials,Birmingham,AL
616,Taylor Morrison Home,Scottsdale,AZ
617,Westinghouse Air Brake,Wilmerding,PA
618,Crestwood Equity Partners,Houston,TX
619,Iron Mountain,Boston,MA
620,Lennox International,Richardson,TX
621,General Cable,Highland Heights,KY
622,American Eagle Outfitters,Pittsburgh,PA
623,Church & Dwight,Ewing Township,NJ
624,Platform Specialty Products,West Palm Beach,FL
625,JELD-WEN Holding,Charlotte,NC
626,OneMain Holdings,Evansville,IN
627,Colfax,Annapolis Junction,MD
628,Zebra Technologies,Lincolnshire,IL
629,Andersons,Maumee,OH
630,TD Ameritrade Holding,Omaha,NE
631,Carlyle Group,Leavenworth,WA
632,Hubbell,Shelton,CT
633,Trinity Industries,Dallas,TX
634,Darling Ingredients,Irving,TX
635,Flowserve,Irving,TX
636,Antero Resources,Denver,CO
637,Skyworks Solutions,Woburn,MA
638,Landstar System,Jacksonville,FL
639,Buckeye Partners,Houston,TX
640,MRC Global,Houston,TX
641,CME Group,Chicago,IL
642,Greif,Delaware,OH
643,Nexeo Solutions,The Woodlands,TX
644,Cooper-Standard Holdings,Novi,MI
645,Urban Outfitters,Philadelphia,PA
646,LSC Communications,Chicago,IL
647,Sabre,Southlake,TX
648,Green Plains,Omaha,NE
649,Hexion,Columbus,OH
650,Stericycle,Lake Forest,IL
651,Warner Music Group,New York,NY
652,Ventas,Chicago,IL
653,ScanSource,Greenville,SC
654,Pinnacle West Capital,Phoenix,AZ
655,Scripps Networks Interactive,Knoxville,TN
656,Alexion Pharmaceuticals,New Haven,CT
657,Pitney Bowes,Stamford,CT
658,CIT Group,New York,NY
659,Country Financial,Bloomington,IL
660,CUNA Mutual Group,Madison,WI
661,Triumph Group,Berwyn,PA
662,TransDigm Group,Cleveland,OH
663,Allegheny Technologies,Pittsburgh,PA
664,Resolute Forest Products,Catawba,SC
665,Acuity Brands,Atlanta,GA
666,Abercrombie & Fitch,New Albany,OH
667,KLA-Tencor,Milpitas,CA
668,Weis Markets,Sunbury,PA
669,Puget Energy,Bellevue,WA
670,Mednax,Fort Lauderdale,FL
671,Kar Auction Services,Carmel,IN
672,PolyOne,Avon Lake,OH
673,FMC,Philadelphia,PA
674,Edwards Lifesciences,Irvine,CA
675,Microchip Technology,Chandler,AZ
676,Amerco,Reno,NV
677,Mercury General,Los Angeles,CA
678,American National Insurance,Galveston,TX
679,Carters,Atlanta,GA
680,International Flavors & Fragrances,New York,NY
681,Aarons,Atlanta,GA
682,Alliant Energy,Madison,WI
683,EQT,Pittsburgh,PA
684,Monster Beverage,Corona,CA
685,BMC Stock Holdings,Atlanta,GA
686,Ryerson Holding,Chicago,IL
687,Equifax,Atlanta,GA
688,Regal Beloit,Beloit,WI
689,Old Dominion Freight Line,Thomasville,NC
690,American Water Works,Voorhees Township,NJ
691,BGC Partners,New York,NY
692,Brinks,Richmond,VA
692,Meritor,Richmond,VA
694,Sentry Insurance Group,Stevens Point,WI
695,Sanderson Farms,Laurel,MS
696,KapStone Paper & Packaging,Northbrook,IL
697,Gartner,Stamford,CT
698,IAC/InterActiveCorp,New York City,NY
699,Tailored Brands,Houston,TX
700,WABCO Holdings,Rochester Hills,MI
701,Insperity,Houston,TX
702,Comerica,Dallas,TX
703,TriNet Group,San Leandro,CA
704,Avaya Holdings,Santa Clara,CA
705,Ashland Global Holdings,Covington,KY
706,Meritage Homes,Scottsdale,AZ
707,SkyWest,St. George,UT
708,USG,Chicago,IL
709,Southwestern Energy,Spring,TX
710,Keysight Technologies,Santa Rosa,CA
711,Regal Entertainment Group,Knoxville,TN
712,Mutual of America Life Insurance,New York,NY
713,Paychex,Rochester,NY
714,Brinker International,Dallas,TX
715,Penn National Gaming,Wyomissing,PA
716,Gannett,McLean,VA
717,Visteon,Van Buren Charter Township,MI
718,Pinnacle Foods,Parsippany-Troy Hills,NJ
719,Intuitive Surgical,Sunnyvale,CA
720,Continental Resources,Oklahoma City,OK
721,Service Corp. International,Houston,TX
722,Scientific Games,Las Vegas,NV
723,Albemarle,Charlotte,NC
724,Atmos Energy,Dallas,TX
725,Hologic,Marlboro,MA
726,H& R Block,KCMO,MO
727,Qorvo,Greensboro,NC
728,Steelcase,Grand Rapids,MI
729,Univision Communications,New York,NY
730,Worthington Industries,Columbus,OH
731,Timken,North Canton,OH
732,A.O. Smith,Milwaukee,WI
733,PriceSmart,San Diego,CA
734,Stifel Financial,St. Louis,MO
735,Brown-Forman,Louisville,KY
736,Cinemark Holdings,Plano,TX
737,Granite Construction,Watsonville,CA
738,Dycom Industries,Palm Beach Gardens,FL
739,Clean Harbors,Norwell,MA
740,First Solar,Tempe,AZ
741,Scotts Miracle-Gro,Marysville,OH
742,Cracker Barrel Old Country Store,Lebanon,TN
743,Triple-S Management,San Juan,Puerto Rico
744,First Republic Bank,SF,CA
745,ServiceMaster Global Holdings,Memphis,TN
746,PC Connection,Merrimack,NH
747,Genesco,Nashville,TN
748,Medical Mutual of Ohio,Cleveland,OH
749,MSC Industrial Direct,Melville,NY
750,Legg Mason,Baltimore,MD
751,Hyster-Yale Materials Handling,Cleveland,OH
752,Apollo Global Management,New York,NY
753,Citrix Systems,Fort Lauderdale,FL
754,Acadia Healthcare,Franklin,TN
755,Varian Medical Systems,Palo Alto,CA
756,Groupon,Chicago,IL
757,Aleris,Cleveland,OH
758,Sprague Resources,Portsmouth,NH
759,Cooper Tire & Rubber,Findlay,OH
760,Hain Celestial Group,Lake Success,NY
